frame_idx,timestamp,elbow_angle,knee_angle,spine_lean_deg,head_knee_xproj_norm,foot_dir_deg,pose_quality,front_side,elbow_quality,knee_quality,spine_quality,cue_elbow_ok,cue_knee_ok,cue_spine_ok,cue_head_ok,cue_foot_ok,warning_count
0,0.3944242000579834,145.00502953116663,155.82340789857415,16.28509174792427,1.2358111790942798,176.56091457547018,0.7901565233866373,left,0.61612468957901,0.7546390295028687,0.9997058510780334,True,True,True,False,False,0
1,0.51947021484375,,180.0,18.118738013723384,,175.85287347319158,0.7513756603002548,right,0.0,0.5030480623245239,0.9997032582759857,,False,True,,False,0
2,0.6404869556427002,,180.0,18.153407118008715,,175.8054709383413,0.7426024228334427,right,0.0,0.48550267020861304,0.9997021754582723,,False,True,,False,0
3,0.7611830234527588,,180.0,18.493966573517337,,175.52973940478904,0.7336770229041576,right,0.0,0.46765801459550854,0.9996960312128067,,False,True,,False,0
4,0.87912917137146,,180.0,18.887900604792204,2.724688872206366,175.39696559515517,0.7261267095804214,right,0.0,0.45255971550941465,0.9996937036514282,,False,True,False,False,0
5,0.9976720809936523,,179.99999879258172,19.595915709009745,1.7626639201074072,175.30383316329664,0.7116059070825577,right,0.0,0.4235187304019928,0.9996930837631226,,False,True,False,False,0
6,1.115387201309204,,180.0,20.002221896776252,1.5999744728008287,175.47722043364263,0.7116050010919571,right,0.0,0.4235187304019928,0.9996912717819214,,False,True,False,False,0
7,1.2335119247436523,,180.0,20.319651932448906,1.6246786047471846,178.44779773676643,0.7116048997640609,right,0.0,0.4235187304019928,0.9996910691261292,,False,True,False,False,0
8,1.3524329662322998,,179.99999914622634,20.59967373517835,1.8034512880386164,179.51948013474185,0.7116082376241684,right,0.0,0.4235187304019928,0.999697744846344,,False,True,False,False,0
9,1.4699230194091797,,180.0,20.785515711232055,2.2008605022489425,178.37958378430508,0.7116116887331009,right,0.0,0.4235187304019928,0.999704647064209,,False,True,False,False,0
10,1.5905652046203613,,179.99999914622634,20.7880425207855,2.664972115532845,177.86101958448586,0.7116146212816238,right,0.0,0.4235187304019928,0.9997105121612548,,False,True,False,False,0
11,1.70725417137146,,180.0,20.66400191445342,,177.8931632289687,0.711618018746376,right,0.0,0.4235187304019928,0.9997173070907592,,False,True,,False,0
12,1.8238451480865479,,180.0,20.49365652546425,,178.7269028648179,0.7116192823648453,right,0.0,0.4235187304019928,0.9997198343276977,,False,True,,False,0
13,1.941068172454834,,180.0,20.30906319505239,,178.76723208647513,0.7116179293394088,right,0.0,0.4235187304019928,0.9997171282768249,,False,True,,False,0
14,2.058338165283203,,180.0,20.183048508447893,3.1149201923578245,178.86808649785854,0.7116145199537277,right,0.0,0.4235187304019928,0.9997103095054627,,False,True,False,False,0
15,2.175199031829834,,180.0,20.152883429898797,,178.86808649785854,0.7116088277101517,right,0.0,0.4235187304019928,0.9996989250183106,,False,True,,False,0
16,2.292297124862671,,179.99999914622634,20.117604415116226,,178.86808649785854,0.7116035348176956,right,0.0,0.4235187304019928,0.9996883392333984,,False,True,,False,0
17,2.4097940921783447,,180.0,19.961381724409,,178.86808649785854,0.711599171757698,right,0.0,0.4235187304019928,0.9996796131134034,,False,True,,False,0
18,2.5295491218566895,,180.0,19.82454712925705,,178.86808649785854,0.7115957325696946,right,0.0,0.4235187304019928,0.9996727347373963,,False,True,,False,0
19,2.6462631225585938,,180.0,19.852885594585402,,178.86808649785854,0.7115928596258163,right,0.0,0.4235187304019928,0.9996669888496399,,False,True,,False,0
20,2.763066053390503,,179.99999914622634,20.059600495077607,3.2155243667163935,178.86808649785854,0.7115915006399155,right,0.0,0.4235187304019928,0.9996642708778382,,False,True,False,False,0
21,2.8798739910125732,,180.0,20.30486100248294,2.5150143661283986,178.86808649785854,0.711589760184288,right,0.0,0.4235187304019928,0.9996607899665833,,False,True,False,False,0
22,2.9966468811035156,,180.0,20.51987868809397,2.296037770333217,178.86808649785854,0.7115883415937424,right,0.0,0.4235187304019928,0.999657952785492,,False,True,False,False,0
23,3.1141090393066406,,180.0,20.76329820189923,2.199078493278163,178.86808649785854,0.7115877515077591,right,0.0,0.4235187304019928,0.9996567726135254,,False,True,False,False,0
24,3.2316181659698486,,180.0,21.28382624883109,2.2033241370196937,178.86808649785854,0.7115893250703812,right,0.0,0.4235187304019928,0.9996599197387696,,False,True,False,False,0
25,3.349545955657959,,179.99999914622634,21.96857085527752,2.160284952186178,178.86808649785854,0.711591196656227,right,0.0,0.4235187304019928,0.9996636629104614,,False,True,False,False,0
26,3.4667131900787354,,180.0,22.66307691148674,2.053821691619828,178.86808649785854,0.7115949577093125,right,0.0,0.4235187304019928,0.9996711850166321,,False,True,False,False,0
27,3.5856142044067383,,179.99999914622634,23.232831711003946,1.870838289712407,178.86808649785854,0.7116000419855117,right,0.0,0.4235187304019928,0.9996813535690308,,False,True,False,False,0
28,3.7047340869903564,,180.0,23.925273476658816,1.6642408255954795,178.86808649785854,0.7116047030687332,right,0.0,0.4235187304019928,0.9996906757354737,,False,True,False,False,0
29,3.8220648765563965,,180.0,24.495377944429578,1.5845190888555554,178.86808649785854,0.7116070932149887,right,0.0,0.4235187304019928,0.9996954560279846,,False,True,False,False,0
30,3.939136028289795,,180.0,24.918240886239868,1.4986783269505495,178.86808649785854,0.7116095489263534,right,0.0,0.4235187304019928,0.9997003674507141,,False,True,False,False,0
31,4.056004047393799,,180.0,25.218479957002565,1.4513592816003067,178.86808649785854,0.7116119390726089,right,0.0,0.4235187304019928,0.999705147743225,,False,False,False,False,0
32,4.172852039337158,,179.99999852122068,25.456391513574136,1.4173976705345026,178.86808649785854,0.7116140908002854,right,0.0,0.4235187304019928,0.9997094511985779,,False,False,False,False,0
33,4.289677143096924,,180.0,25.552327547803944,1.39211295795041,178.86808649785854,0.7116173452138901,right,0.0,0.4235187304019928,0.9997159600257873,,False,False,False,False,0
34,4.407550096511841,,179.99999914622634,25.726845311224096,1.3769695621692843,178.86808649785854,0.7116223222017288,right,0.0,0.4235187304019928,0.9997259140014648,,False,False,False,False,0
35,4.525500059127808,,179.99999914622634,25.784217509238662,1.391131796019105,178.86808649785854,0.7116269654035569,right,0.0,0.4235187304019928,0.9997352004051209,,False,False,False,False,0
36,4.6431779861450195,,180.0,25.884027968985322,1.4189319009877357,178.86808649785854,0.7116309052705765,right,0.0,0.4235187304019928,0.9997430801391601,,False,False,False,False,0
37,4.7615602016448975,,180.0,25.991245218605933,1.455864978667399,178.86808649785854,0.7116345828771591,right,0.0,0.4235187304019928,0.9997504353523254,,False,False,False,False,0
38,4.87880802154541,,179.99999914622634,26.059336440576935,1.4605541282323757,178.86808649785854,0.711637926697731,right,0.0,0.4235187304019928,0.9997571229934692,,False,False,False,False,0
39,4.996340036392212,,180.0,26.049310742707018,1.383155032974403,178.86808649785854,0.7116413778066635,right,0.0,0.4235187304019928,0.9997640252113342,,False,False,False,False,0
40,5.112901926040649,,179.99999914622634,25.987959929930685,1.261222986350679,178.86808649785854,0.7116450613737106,right,0.0,0.4235187304019928,0.9997713923454284,,False,False,False,False,0
41,5.229348182678223,,180.0,25.967363312081837,1.1666282622815096,178.86808649785854,0.7116489833593368,right,0.0,0.4235187304019928,0.9997792363166809,,False,False,False,False,0
42,5.3473570346832275,,180.0,25.82026098201078,1.1100832186637815,178.86808649785854,0.7116529947519302,right,0.0,0.4235187304019928,0.9997872591018677,,False,False,False,False,0
43,5.467692136764526,,180.0,25.12383652375233,1.106103483325367,178.86808649785854,0.7116564637422561,right,0.0,0.4235187304019928,0.9997941970825195,,False,False,False,False,0
44,5.585458993911743,,180.0,24.442160802785356,1.1507633480669686,178.86808649785854,0.7116594260931015,right,0.0,0.4235187304019928,0.9998001217842102,,False,True,False,False,0
45,5.704742908477783,,179.99999879258172,23.567887397295326,1.2536507925789817,178.86808649785854,0.7116611844301224,right,0.0,0.4235187304019928,0.9998036384582519,,False,True,False,False,0
46,5.823265075683594,,180.0,23.402668547107393,1.3629746143974237,178.86808649785854,0.7116628414392471,right,0.0,0.4235187304019928,0.9998069524765014,,False,True,False,False,0
47,5.9401960372924805,,180.0,23.69253224562613,1.4768391194442856,178.86808649785854,0.7116642183065415,right,0.0,0.4235187304019928,0.9998097062110901,,False,True,False,False,0
48,6.057101011276245,,180.0,23.745206370258487,1.5237680778585974,178.86808649785854,0.711666060090065,right,0.0,0.4235187304019928,0.9998133897781372,,False,True,False,False,0
49,6.175640106201172,,180.0,23.068046921250097,1.7074569770287664,178.86808649785854,0.7116677767038345,right,0.0,0.4235187304019928,0.9998168230056763,,False,True,False,False,0
50,6.293481111526489,,179.99999879258172,22.768900472690607,1.8971234331235862,178.86808649785854,0.7116684383153915,right,0.0,0.4235187304019928,0.9998181462287903,,False,True,False,False,0
51,6.410832166671753,,179.99999879258172,21.79918027106992,1.8761898161046897,178.86808649785854,0.7116695767641067,right,0.0,0.4235187304019928,0.9998204231262207,,False,True,False,False,0
52,6.528274059295654,,180.0,20.638204597634672,1.7555852133823016,178.86808649785854,0.7116710191965103,right,0.0,0.4235187304019928,0.9998233079910278,,False,True,False,False,0
53,6.646106243133545,,180.0,19.192088118485835,1.5453352492539076,178.02440750492227,0.7116730219125748,right,0.0,0.4235187304019928,0.9998273134231568,,False,True,False,False,0
54,6.763560056686401,,180.0,18.448928751902276,1.4219991000863093,177.37118335862033,0.7116757696866989,right,0.0,0.4235187304019928,0.999832808971405,,False,True,False,False,0
55,6.88076114654541,,180.0,18.15663547482194,1.4132976628900442,176.96761430118008,0.711680365204811,right,0.0,0.4235187304019928,0.9998420000076294,,False,True,False,False,0
56,7.012223958969116,,179.99999879258172,17.65648079810885,1.437998266501785,177.08016388945757,0.7116844898462296,right,0.0,0.4235187304019928,0.9998502492904663,,False,True,False,False,0
57,7.129925966262817,,,17.331329673882646,1.3582906923712028,177.36485927529685,0.6992046785354614,right,0.0,0.3985518956184387,0.9998574614524841,,,True,False,False,0
58,7.247987985610962,,,17.279491601847234,1.26491766473231,177.43692808638474,0.6929293668270111,right,0.0,0.38599688529968257,0.9998618483543396,,,True,False,False,0
59,7.365518093109131,,,16.777097405893738,1.148578354892796,176.65834869640486,0.6926209837198257,right,0.0,0.38537718653678893,0.9998647809028626,,,True,False,False,0
60,7.482905149459839,,,16.73216361382112,1.0147801936485097,173.80992685337338,0.6967491430044174,right,0.0,0.3936300122737884,0.9998682737350464,,,True,False,False,0
61,7.612222909927368,,180.0,15.933982188477335,0.8775012035054616,169.4913313205438,0.7048568165302277,right,0.0,0.4098412227630615,0.9998724102973938,,False,True,False,False,0
62,7.734736204147339,,180.0,15.225655179506472,0.8782264755223315,162.60550902167375,0.7156225091218948,right,0.0,0.4313692939281463,0.9998757243156433,,False,True,False,False,0
63,7.853349924087524,,161.4689037299081,14.712662625059844,0.6035416013181715,155.64742008419776,0.7693833351135254,right,0.0,0.5388940572738647,0.9998726129531861,,True,True,False,False,0
64,7.970755100250244,,156.48655328640143,15.316843883228549,0.5975771868382018,146.71524609235092,0.7764171183109283,right,0.0,0.5529752969741821,0.9998589396476746,,True,True,False,False,0
65,8.089613199234009,,156.38124683296255,16.409755084257952,0.6874365159449706,144.76900921214474,0.7739379783471425,right,0.0,0.5480445424715678,0.9998314142227173,,True,True,False,False,0
66,8.208005905151367,,159.76931779974905,17.11572988225089,0.7942490886446821,142.92812927746147,0.7739215334256491,right,0.0,0.5480445424715678,0.9997985243797303,,True,True,False,False,0
67,8.326253175735474,,163.7844320025079,18.041934924973308,0.8958086716686172,141.72034795609108,0.7738984723885853,right,0.0,0.5480445424715678,0.999752402305603,,True,True,False,False,0
68,8.444385051727295,,168.31916490081693,19.392386753638558,0.9946713865067413,139.45140056625553,0.7738691945870717,right,0.0,0.5480445424715678,0.9996938467025757,,True,True,False,False,0
69,8.562278032302856,15.101732835798346,172.0456754575248,20.156431555215597,1.0999021150387334,137.58540497885272,0.690322150124444,right,0.5233079195022583,0.5480445424715678,0.9996139883995057,False,False,True,False,False,0
70,8.680865049362183,1.6644883867333053,173.37693212773493,21.542719430814753,1.2121365929492816,137.6385776684079,0.6898909085326723,right,0.5220646560192108,0.5480445424715678,0.9995635271072387,False,False,True,False,False,0
71,8.798935174942017,25.042428715070837,160.00141443702717,23.231918579254863,1.221814391392966,148.19637117027176,0.6906812667846679,right,0.5282267928123474,0.5442814826965332,0.9995355248451233,False,True,True,False,False,0
72,8.916805982589722,,147.5927670748627,23.230834355193174,1.8625362736904678,161.05826993934218,0.690677511692047,right,0.5282267928123474,0.5442814826965332,0.9995242595672608,,True,True,False,False,1
73,9.034937143325806,140.47228289461273,141.8754963658133,24.155632005568123,2.138909119295366,163.27763043058192,0.6906786719957987,right,0.5282267928123474,0.5442814826965332,0.9995277404785157,True,True,True,False,False,0
74,9.152565002441406,137.6606423299147,141.59431407485016,25.447769587155133,2.0033100613654735,154.1500096574838,0.6906886458396911,right,0.5282267928123474,0.5442814826965332,0.9995576620101929,True,True,False,False,False,0
75,9.271384000778198,140.93179983390348,148.2347158494573,27.149272526840168,1.8501241985206986,147.71820558152308,0.6906989296277364,right,0.5282267928123474,0.5442814826965332,0.9995885133743286,True,True,False,False,False,0
76,9.392365217208862,149.12383500788928,154.05945382558653,28.250475914473334,1.6495437171926635,140.78813115757234,0.6907049894332885,right,0.5282267928123474,0.5442814826965332,0.9996066927909851,True,True,False,False,False,0
77,9.509809970855713,176.4708821516961,155.34912249974704,29.431186087025406,1.6395984976301334,138.67058399471688,0.6907094597816467,right,0.5282267928123474,0.5442814826965332,0.9996201038360596,False,True,False,False,False,0
78,9.627377033233643,81.27235906127326,154.6830155941911,29.49950125092672,1.5818326503533071,146.60492154101314,0.689026649792989,right,0.5282267928123474,0.5392978906631469,0.9995552659034729,False,True,False,False,False,0
79,9.746309995651245,79.46641831228824,151.85054640447558,28.722527635183702,1.4392616149703095,163.8299807839101,0.6887105226516724,right,0.5282267928123474,0.5384496212005615,0.9994551539421082,False,True,False,False,False,0
80,9.86441707611084,71.67056389341771,155.08600771907092,26.957938619479005,1.338222114294688,179.16387106494892,0.6893897811571756,right,0.5282267928123474,0.5405614972114563,0.9993810534477234,False,True,False,False,False,0
81,9.982458114624023,47.95660354619057,155.72530352051172,25.47443555436997,1.268348568846437,172.9069306899596,0.6948253750801087,right,0.5282267928123474,0.556871747970581,0.9993775844573974,False,True,False,False,False,0
82,10.10028600692749,39.62025484321907,159.41054189535564,24.35264100874282,1.1810717489920564,171.4999245686049,0.7030845363934835,right,0.5282267928123474,0.5816065788269043,0.9994202375411987,False,True,True,False,False,0
83,10.21786117553711,34.70964795676279,160.1579075089002,23.884371686549674,1.086026366518947,175.07961360078613,0.713359006245931,right,0.5282267928123474,0.6124083638191223,0.9994418621063232,False,True,True,False,False,0
84,10.335808992385864,32.78261229465401,151.68459879539648,23.728203445096767,1.020972388852397,170.08872786428145,0.7234181483586628,right,0.5282267928123474,0.642580533027649,0.9994471192359924,False,True,True,False,False,0
85,10.454469919204712,30.225260568598223,145.84349040474632,24.044337737671654,1.020935529473477,156.42719345409608,0.7322575847307841,right,0.5282267928123474,0.6691250681877137,0.9994208931922912,False,True,True,False,False,0
86,10.580901861190796,28.734071028943198,144.53697837256416,24.153628582245457,1.0623494781727187,153.6336205459139,0.7399858077367147,right,0.5282267928123474,0.6923492312431335,0.9993813991546631,False,True,True,False,False,0
87,10.699273109436035,26.897508979213146,143.9267150848194,24.246481927653765,1.1259832634135818,152.85016645071502,0.745707619190216,right,0.5282267928123474,0.7095702528953552,0.9993258118629456,False,True,True,False,False,0
88,10.910341262817383,26.129660902790093,144.15006713795776,24.125076218293415,1.192813907499945,158.1913946385043,0.7516130089759826,right,0.5282267928123474,0.7273316860198975,0.9992805480957031,False,True,True,False,False,0
89,11.058197021484375,24.752416052777374,145.66689282402731,24.27544099721531,1.2864102188182591,159.3338084514227,0.758079727490743,right,0.5282267928123474,0.7467604875564575,0.9992519021034241,False,True,True,False,False,0
90,11.1774001121521,23.915984973846452,147.71351196764306,24.27128122690456,1.3743610925214578,161.45701057025443,0.7641884644826252,right,0.5282267928123474,0.7650945901870727,0.9992440104484558,False,True,True,False,False,0
91,11.29528021812439,23.478321938560445,149.22836796638725,24.204577457772224,1.4177238569228214,158.90478038985,0.7672887682914734,right,0.5282267928123474,0.7744119167327881,0.9992275953292846,False,True,True,False,False,0
92,11.412665128707886,22.687437617474842,152.20074810329308,24.088271338936202,1.4180289151562735,153.62378453842314,0.7700905362764994,right,0.5282267928123474,0.782827091217041,0.9992177248001098,False,True,True,False,False,0
93,11.530237913131714,22.423588211095076,155.07080063084913,23.737039591916414,1.3891537457259224,155.4718511716063,0.7714078942934671,right,0.5282267928123474,0.7867897391319275,0.9992071509361267,False,True,True,False,False,0
94,11.648912191390991,22.141206334561684,158.612738297666,23.47404358476876,1.3591760042669634,160.09362427291646,0.7708428263664245,right,0.5282267928123474,0.7851308465003968,0.9991708397865295,False,True,True,False,False,0
95,11.767269849777222,21.764064032358746,160.18767060456872,23.227791424995033,1.3258425813964132,162.22053095754438,0.7703538576761882,right,0.5282267928123474,0.7837258100509643,0.9991089701652527,False,True,True,False,False,0
96,11.891322135925293,21.43960300135808,160.98870074821437,22.962550263885138,1.3001556585113319,164.05423593417635,0.7723148465156555,right,0.5282267928123474,0.7896723747253418,0.9990453720092773,False,True,True,False,False,0
97,12.012673139572144,21.23915648120927,158.97385026374783,22.806262601346184,1.2827642868174962,160.95527552570164,0.7727016886075337,right,0.5282267928123474,0.790905237197876,0.998973035812378,False,True,True,False,False,0
98,12.130306005477905,22.302026706292196,158.0510175962998,22.685999963399382,1.24102670156657,160.447969752956,0.773927308122317,right,0.5268651992082596,0.7960000991821289,0.9989166259765625,False,True,True,False,False,0
99,12.2479989528656,22.98947774397201,157.50618922048693,22.446145833020154,1.1799741576814204,160.71809440632447,0.7777472138404846,right,0.532620656490326,0.8017437219619751,0.9988772630691528,False,True,True,False,False,0
100,12.365539073944092,24.67207455648758,157.39392810795238,22.211608276080494,1.131878127460214,163.99508940283295,0.7832467118899027,right,0.5423101186752319,0.8085686326026916,0.9988613843917846,False,True,True,False,False,0
101,12.4827241897583,29.24664265297038,157.23709788717056,21.927506176373857,1.1131957202708893,167.8962363816255,0.7918885072072347,right,0.5593312025070191,0.8174694061279297,0.9988649129867554,False,True,True,False,False,0
102,12.599560976028442,34.00831078896566,157.61103832337201,22.175512516333942,1.1103104219969315,171.30247299169372,0.8037004351615905,right,0.5779841423034668,0.8342366933822631,0.9988804697990418,False,True,True,False,False,0
103,12.716646909713745,36.92375572695686,158.06343641067883,22.5135598311619,1.121940697378506,172.6652924649576,0.8158586740493773,right,0.6001952886581421,0.8485054612159729,0.9988752722740173,False,True,True,False,False,0
104,12.838495969772339,41.87005079941892,158.00145463820974,22.469583927303006,1.0854366642067972,173.085255142072,0.8264601985613504,right,0.6200959086418152,0.8604028105735779,0.9988818764686584,False,True,True,False,False,0
105,12.955734014511108,46.07320130095462,157.09732913445168,22.231185029805133,1.0176664580922925,172.76944985287707,0.8346380790074667,right,0.6363308548927307,0.8686822175979614,0.9989011645317077,False,True,True,False,False,0
106,13.074223041534424,55.92150637397087,154.77551704068057,22.12133559289267,0.9676923232315164,172.53617538171758,0.8382155219713847,right,0.6423251152038574,0.8733960628509522,0.9989253878593445,False,True,True,False,False,0
107,13.193356037139893,61.90932510091606,153.12793454173303,21.888920521029473,0.9390668908897365,173.10823753926414,0.8371087352434793,right,0.6391277074813843,0.8732417345046997,0.9989567637443543,False,True,True,False,False,0
108,13.310596227645874,67.89595953963978,151.95056989779542,21.815763113378477,0.94647448961658,173.50702106128116,0.8344073335329693,right,0.6389061212539673,0.8653051018714905,0.9990107774734497,False,True,True,False,False,0
109,13.428581953048706,52.34326528234677,152.2178931838214,22.050125960797473,0.9835355091169248,173.39243959786344,0.8282356063524882,right,0.6372137546539307,0.8484245777130127,0.9990684866905213,False,True,True,False,False,0
110,13.545976161956787,44.45828968815565,153.1128901410555,22.072021216400213,1.0252948788330765,173.89428682780564,0.8214241941769918,right,0.6327028751373291,0.832441246509552,0.9991284608840942,False,True,True,False,False,0
111,13.663739204406738,,155.07949590564337,21.805953846964652,1.0529277602197094,174.6916485209118,0.8162790497144065,right,0.6307942509651184,0.8188530087471009,0.9991898894309997,,True,True,False,False,1
112,13.781636238098145,133.67694321536663,156.24078702158553,21.115955421745184,1.0559177566751803,174.59229538466133,0.8157191793123881,right,0.634872043132782,0.8130280137062073,0.999257481098175,True,True,True,False,False,0
113,13.899465084075928,139.2516463644746,157.60429067589564,20.106827664337544,1.0550419971647236,174.4776713338953,0.8169989983240763,right,0.637901782989502,0.8137713193893432,0.9993238925933838,True,True,True,False,False,0
114,14.018213987350464,140.87582332592024,159.1419908121261,18.988654890697156,1.0581238538044229,174.96592586203658,0.8202708681424458,right,0.6402355551719665,0.8211910486221313,0.9993860006332398,True,True,True,False,False,0
115,14.135195016860962,145.0756057109195,161.45398165676377,17.752711745675125,1.1138795140710687,169.2887095731417,0.8245168566703797,right,0.6439162135124207,0.830190896987915,0.9994434595108033,True,True,True,False,False,0
116,14.252583026885986,148.4853872051195,162.67945396517067,16.419860142426703,1.1104718528721205,166.41147591253156,0.8283017675081888,right,0.6451420783996582,0.840267014503479,0.9994962096214295,True,True,True,False,False,0
117,14.370074987411499,151.31381679344503,165.31344501913,14.744573567189255,1.1714286919663892,158.74347044728177,0.8292485276858012,right,0.6404607892036438,0.8477414011955261,0.9995433926582337,False,True,True,False,False,0
118,14.489609956741333,155.029754913274,168.98134979940755,12.800043220726009,1.3952282277849486,147.17180848963483,0.8237736503283183,right,0.6262497067451477,0.8454857707023621,0.9995854735374451,False,True,True,False,False,0
119,14.608316898345947,156.13017141609933,170.8044971965958,11.333523253485197,1.5961678267547468,143.00867624855417,0.8119351108868917,right,0.6010957717895508,0.8350867629051208,0.9996227979660034,False,False,True,False,False,0
120,14.726263999938965,170.64340980763546,171.17456163325042,9.587192189754484,1.936606435182638,141.44117073363617,0.8060302376747132,right,0.6010957717895508,0.8173388004302978,0.9996561408042908,False,False,True,False,False,0
121,14.84446120262146,170.10084791630436,169.67405623055186,7.70058959452262,2.4795832438581353,143.37472359375124,0.7965580344200133,right,0.6010957717895508,0.7888932943344116,0.9996850371360779,False,True,True,False,False,0
122,14.9620680809021,153.94993953542547,169.4727645996182,6.2016287639415095,3.3208750169672934,146.0281334840745,0.7834566632906595,right,0.6010957717895508,0.7495664358139038,0.9997077822685242,False,True,True,False,False,0
123,15.079524040222168,139.09050898978052,167.16137145290432,5.042471966295367,,154.63361844011965,0.7698417743047079,right,0.6010957717895508,0.7087058901786805,0.9997236609458924,True,True,True,,False,0
124,15.197077989578247,129.03741996860293,166.09164743288568,4.045697773399619,,160.41993919742276,0.7561057289441426,right,0.6010957717895508,0.6674845933914184,0.9997368216514587,True,True,False,,False,0
125,15.3146390914917,125.94114326534341,166.25346672979956,3.5891363887186554,,163.59173096103405,0.743100901444753,right,0.6010957717895508,0.628459358215332,0.9997475743293762,True,True,False,,False,0
126,15.432723045349121,122.85297127093907,169.74392940934825,2.765365059948145,,169.97238593224188,0.7320485512415568,right,0.6010957717895508,0.5952944755554199,0.9997554063796997,True,True,False,,False,0
127,15.55020022392273,169.36661922569894,178.7188212308139,2.036929747597183,,179.2350650773983,0.9377859751383464,left,0.9240083336830139,0.889584743976593,0.9997648477554322,False,False,False,,False,0
128,15.667286157608032,172.11399018412038,174.27062408260608,0.21893017967414954,,174.22558455607202,0.9316465258598328,left,0.9013017416000366,0.8938610553741455,0.9997767806053162,False,False,False,,False,0
129,15.785561084747314,173.96914443997267,172.40888485237122,1.5739011458195602,0.7442762033497524,178.5069636002475,0.9249502619107565,left,0.8784663438796997,0.8965978264808655,0.9997866153717041,False,False,False,False,False,0
130,15.902899980545044,175.27069056705355,172.14381138541478,2.6627768654868764,0.15694405104417455,175.2907679866932,0.9184624234835307,left,0.8574812650680542,0.8981104135513306,0.9997955918312073,False,False,False,True,False,0
131,16.021075010299683,176.53851554368111,175.7140080943747,3.2076713688154554,0.18647728614893389,172.02686338502747,0.917747684319814,left,0.8487320065498352,0.9047049164772034,0.9998061299324036,False,False,False,True,False,0
132,16.139217853546143,178.15975831328808,178.82081600179833,3.4594354520709896,0.3995848420994644,170.77488099435226,0.9188228646914164,left,0.8460360527038574,0.9106176972389222,0.9998148441314697,False,False,False,False,False,0
133,16.257012128829956,179.33453229998221,169.49726019567825,3.582163412100384,0.6129028709281995,171.24772751552922,0.9236338218053182,left,0.8546278595924377,0.916450297832489,0.9998233079910278,False,True,False,False,False,0
134,16.374282121658325,178.15762529582554,160.3132350931454,3.681725826047629,0.7981080403960702,172.8049825989967,0.9293849309285482,left,0.8649549722671509,0.9233676195144653,0.9998322010040284,False,True,False,False,False,0
135,16.49180006980896,176.4153992447137,153.36152159278404,4.033326220315472,0.9396212963455898,173.3928653788712,0.9353909174601237,left,0.8756436467170715,0.9306878566741943,0.9998412489891052,False,True,False,False,False,0
